-54.351473	-612.799999	-517.637444
-54.602998	-612.017811	-517.190733
-54.228201	-612.212921	-515.613645
-52.125602	-615.073953	-509.738643
-49.984351	-618.385352	-504.511764
-46.965768	-622.548000	-496.977945
-44.118037	-626.813458	-489.023180
-41.006106	-631.150374	-481.314102
-38.237419	-635.289769	-473.295451
-34.899070	-639.468330	-464.402976
-32.013027	-643.808028	-455.014354
-29.357912	-647.779904	-445.816995
-26.626135	-651.616403	-436.119562
-22.391041	-657.799078	-419.800471
-18.145180	-663.459850	-403.227010
-14.130620	-668.934190	-382.998608
-11.178620	-673.021014	-364.243015
-7.995166	-676.363254	-343.505503
-5.637394	-678.949351	-321.706466
-3.765635	-680.248398	-299.883444
-2.831663	-680.494560	-278.148028
-2.369339	-679.898674	-257.329404
-2.897755	-678.409422	-237.196546
-3.663483	-676.172546	-218.658831
-4.887937	-673.442134	-201.138148
-6.444920	-669.997013	-184.593110
-8.339713	-665.970101	-168.754487
-10.768457	-661.305922	-152.968244
-13.278153	-656.107516	-138.173028
-16.301292	-650.513017	-123.799574
-20.096956	-643.773967	-109.133211
-24.784509	-635.712304	-94.549577
-29.258820	-627.698285	-81.185189
-34.672762	-618.837854	-67.709055
-40.276331	-609.593274	-54.983791
-45.508127	-600.665086	-43.942143
-50.784990	-591.402856	-33.068028
-56.709972	-581.472671	-23.015111
-62.507860	-571.195705	-13.569822
-68.442775	-561.208744	-5.118921
-72.466550	-554.235174	-1.326354
-79.801043	-542.131352	7.030862
-81.255277	-539.514587	8.980519
-83.767885	-535.425092	10.613217
-83.817250	-535.095061	10.839343
-84.183423	-534.140054	11.014285
-84.755116	-532.860823	11.181709
-85.316753	-531.874646	11.314078
-86.091938	-530.476652	11.420970
-86.609186	-529.308429	11.442693
-87.412210	-527.866729	11.479347
-88.632911	-525.464028	11.751113
-89.614720	-523.641049	11.841518
-90.357886	-522.393878	11.936166
-90.625689	-521.871902	12.027747
-90.366365	-521.958290	12.198277
-87.201920	-525.783040	13.200095
-77.135271	-543.850106	16.313340
-68.633756	-558.708007	18.171523
-59.503907	-574.323533	19.405802
-49.688996	-590.317988	19.903796
-39.936847	-607.033547	19.634545
-27.910088	-626.549486	18.265507
-14.701545	-648.128163	15.229139
0.113774	-671.925297	10.174098
16.848875	-698.610862	1.816506
33.561022	-725.052093	-8.301368
51.452963	-753.246455	-21.887107
71.780378	-784.711595	-40.784476
91.947776	-816.271089	-64.445028
112.146494	-847.472096	-93.187017
132.430437	-877.895240	-127.835488
151.422497	-905.822145	-167.617700
168.310729	-930.215707	-211.581865
183.416326	-948.788898	-257.982009
195.027181	-959.819501	-297.955157
203.274230	-966.284252	-331.590878
208.147246	-969.370312	-354.553030
210.649175	-971.018607	-369.052314
212.081836	-971.762287	-377.931802
213.110609	-972.186111	-384.530862
213.270246	-972.606949	-386.360994
214.079022	-972.547906	-389.504279
213.046124	-971.145422	-401.746779
211.898194	-969.841440	-412.052115
210.586710	-967.483919	-426.678197
208.471125	-964.693884	-442.913890
206.726580	-961.676273	-458.090905
204.267936	-957.792309	-475.594404
201.348664	-953.679405	-493.445812
