-32	-1017	-454
-32	-1017	-453
-28	-1017	-453
-15	-1017	-453
2	-1015	-452
24	-1013	-452
45	-1011	-451
68	-1007	-450
85	-1004	-450
99	-1001	-450
117	-997	-450
134	-993	-450
153	-988	-450
187	-976	-450
231	-960	-450
277	-939	-448
324	-914	-448
359	-892	-448
393	-867	-448
424	-843	-448
458	-812	-448
492	-779	-448
523	-743	-447
555	-701	-447
583	-659	-447
607	-616	-447
628	-573	-447
647	-526	-447
665	-472	-447
679	-417	-446
688	-364	-446
693	-315	-446
694	-261	-446
692	-203	-445
685	-148	-445
676	-98	-445
664	-51	-445
649	-7	-445
633	33	-445
619	63	-445
608	87	-445
594	111	-445
582	132	-444
574	144	-444
570	151	-444
566	156	-444
566	156	-443
565	157	-443
564	159	-442
563	159	-439
562	160	-433
534	215	-491
537	176	-520
547	174	-485
545	185	-429
544	180	-414
543	174	-396
540	167	-358
534	160	-324
529	149	-296
522	140	-270
517	131	-251
510	120	-231
502	110	-209
496	100	-194
491	90	-181
485	80	-169
480	72	-157
473	64	-143
466	59	-131
461	57	-123
457	51	-116
454	48	-112
450	48	-108
444	49	-101
442	49	-99
439	48	-96
437	47	-94
432	48	-90
422	54	-82
402	62	-67
400	61	-65
399	58	-63
401	52	-61
403	45	-60
409	34	-59
418	18	-59
428	-1	-59
440	-25	-59
447	-39	-60
454	-55	-59
461	-74	-59
469	-98	-59
476	-124	-59
482	-150	-59
486	-173	-59
490	-198	-59
492	-220	-59
494	-247	-59
494	-281	-58
491	-326	-58
483	-374	-59
472	-421	-59
456	-466	-59
440	-504	-59
418	-545	-59
393	-585	-59
367	-618	-59
344	-645	-59
321	-667	-59
302	-685	-59
285	-699	-59
267	-713	-59
247	-727	-59
226	-740	-59
206	-751	-59
188	-761	-59
169	-770	-59
151	-778	-59
131	-786	-59
111	-792	-59
91	-798	-59
75	-802	-59
69	-803	-58
66	-803	-58
66	-803	-58
65	-803	-57
63	-802	-57
63	-802	-57
62	-802	-56
61	-801	-56
60	-801	-56
59	-801	-56
58	-801	-55
60	-803	-57
62	-804	-58
66	-808	-61
71	-815	-67
78	-824	-74
86	-835	-83
94	-845	-93
103	-857	-105
112	-868	-118
122	-881	-133
132	-894	-151
144	-909	-172
155	-922	-194
161	-936	-219
161	-953	-250
159	-966	-273
149	-980	-299
145	-992	-334
140	-1001	-371
130	-1007	-410
131	-1008	-443
134	-1005	-480
132	-999	-513
133	-993	-537
132	-990	-550
132	-987	-561
